code,actual label
"    lis = list()
    for i in s.split(' '):
        if i.isdigit():
            lis.append(int(i))
    return n - sum(lis)
",1
"```python
def exchange(lst1, lst2):
    lst1_odd = [x for x in lst1 if x % 2 != 0]
    lst2_even = [x for x in lst2 if x % 2 == 0]
    if len(lst1_odd) <= len(lst2_even):
        return ""YES""
    return ""NO""
```",0
"    return ' '.join([''.join(sorted(list(i))) for i in s.split(' ')])
",1
"```python
def rolling_max(numbers: List[int]) -> List[int]:
    result = []
    current_max = float('-inf')
    for number in numbers:
        if number > current_max:
            current_max = number
        result.append(current_max)
    return result
```",0
"```python
def encode(message):
    def shift_vowel(c):
        vowels = 'aeiouAEIOU'
        if c in vowels:
            if c.islower():
                return chr((ord(c) - ord('a') + 2) % 26 + ord('a'))
            else:
                return chr((ord(c) - ord('A') + 2) % 26 + ord('A'))
        return c

    return ''.join(shift_vowel(c).swapcase() for c in message)
```",0
"    depth = 0
    for b in brackets:
        if b == ""<"":
            depth += 1
        else:
            depth -= 1
        if depth < 0:
            return False
    return depth == 0
",1
"    def digits_sum(n):
        neg = 1
        if n < 0: n, neg = -1 * n, -1 
        n = [int(i) for i in str(n)]
        n[0] = n[0] * neg
        return sum(n)
    return sorted(nums, key=digits_sum)
",1
"    m = l[0]
    for e in l:
        if e > m:
            m = e
    return m
",1
"    for i in range(len(l)):
        for j in range(i + 1, len(l)):
            for k in range(j + 1, len(l)):
                if l[i] + l[j] + l[k] == 0:
                    return True
    return False
",1
"```python
def words_string(s):
    import re
    return re.split(r'[,\s]+', s.strip())
```",0
"    note_map = {'o': 4, 'o|': 2, '.|': 1}
    return [note_map[x] for x in music_string.split(' ') if x]
",1
"    planet_names = (""Mercury"", ""Venus"", ""Earth"", ""Mars"", ""Jupiter"", ""Saturn"", ""Uranus"", ""Neptune"")
    if planet1 not in planet_names or planet2 not in planet_names or planet1 == planet2:
        return ()
    planet1_index = planet_names.index(planet1)
    planet2_index = planet_names.index(planet2)
    if planet1_index < planet2_index:
        return (planet_names[planet1_index + 1: planet2_index])
    else:
        return (planet_names[planet2_index + 1 : planet1_index])
",1
"    num = [1, 4, 5, 9, 10, 40, 50, 90,  
           100, 400, 500, 900, 1000] 
    sym = [""I"", ""IV"", ""V"", ""IX"", ""X"", ""XL"",  
           ""L"", ""XC"", ""C"", ""CD"", ""D"", ""CM"", ""M""] 
    i = 12
    res = ''
    while number: 
        div = number // num[i] 
        number %= num[i] 
        while div: 
            res += sym[i] 
            div -= 1
        i -= 1
    return res.lower()
",1
"```python
def special_factorial(n):
    def factorial(x):
        if x == 0 or x == 1:
            return 1
        result = 1
        for i in range(2, x + 1):
            result *= i
        return result

    special_fact = 1
    for i in range(1, n + 1):
        special_fact *= factorial(i)
    
    return special_fact
```",0
"    if x > y:
        return -1
    if y % 2 == 0:
        return y
    if x == y:
        return -1
    return y - 1
",1
"```python
def Strongest_Extension(class_name, extensions):
    def strength(extension):
        cap = sum(1 for c in extension if c.isupper())
        sm = sum(1 for c in extension if c.islower())
        return cap - sm

    strongest = max(extensions, key=strength)
    return f""{class_name}.{strongest}""
```",0
