idx,code,new_code,ast,actual label
0,"    lis = list()
    for i in s.split(' '):
        if i.isdigit():
            lis.append(int(i))
    return n - sum(lis)
","    var_1 = list()
    for var_2 in s.split(' '):
        if var_2.isdigit():
            var_1.append(int(var_2))
    return n - sum(var_1)
",module::left expression_statement::left assignment::left var_1 = call::left list argument_list::left ( ) argument_list::right call::right assignment::right expression_statement::right for_statement::left for var_2 in call::left attribute::left s . split attribute::right argument_list::left ( string::left '   ' string::right ) argument_list::right call::right : block::left if_statement::left if call::left attribute::left var_2 . isdigit attribute::right argument_list::left ( ) argument_list::right call::right : block::left expression_statement::left call::left attribute::left var_1 . append attribute::right argument_list::left ( call::left int argument_list::left ( var_2 ) argument_list::right call::right ) argument_list::right call::right expression_statement::right block::right if_statement::right block::right for_statement::right return_statement::left return binary_operator::left n - call::left sum argument_list::left ( var_1 ) argument_list::right call::right binary_operator::right return_statement::right module::right,1
1,"```python
def exchange(lst1, lst2):
    lst1_odd = [x for x in lst1 if x % 2 != 0]
    lst2_even = [x for x in lst2 if x % 2 == 0]
    if len(lst1_odd) <= len(lst2_even):
        return ""YES""
    return ""NO""
```","```python
def exchange(var_1, var_2):
    var_3 = [x for x in var_1 if x % 2 != 0]
    var_4 = [x for x in var_2 if x % 2 == 0]
    if len(var_3) <= len(var_4):
        return ""YES""
    return ""NO""
```","module::left ERROR::left string::left ` ` string::right ` ERROR::right expression_statement::left python expression_statement::right function_definition::left def exchange parameters::left ( var_1 , var_2 ) parameters::right : block::left expression_statement::left assignment::left var_3 = list_comprehension::left [ x for_in_clause::left for x in var_1 for_in_clause::right if_clause::left if comparison_operator::left binary_operator::left x % 2 binary_operator::right != 0 comparison_operator::right if_clause::right ] list_comprehension::right assignment::right expression_statement::right expression_statement::left assignment::left var_4 = list_comprehension::left [ x for_in_clause::left for x in var_2 for_in_clause::right if_clause::left if comparison_operator::left binary_operator::left x % 2 binary_operator::right == 0 comparison_operator::right if_clause::right ] list_comprehension::right assignment::right expression_statement::right if_statement::left if comparison_operator::left call::left len argument_list::left ( var_3 ) argument_list::right call::right <= call::left len argument_list::left ( var_4 ) argument_list::right call::right comparison_operator::right : block::left return_statement::left return string::left "" YES "" string::right return_statement::right block::right if_statement::right return_statement::left return string::left "" NO "" string::right return_statement::right block::right function_definition::right ERROR::left string::left ` ` string::right ` ERROR::right module::right",0
2,"    return ' '.join([''.join(sorted(list(i))) for i in s.split(' ')])
","    return ' '.join([''.join(sorted(list(i))) for i in s.split(' ')])
",module::left return_statement::left return call::left attribute::left string::left '   ' string::right . join attribute::right argument_list::left ( list_comprehension::left [ call::left attribute::left string::left ' ' string::right . join attribute::right argument_list::left ( call::left sorted argument_list::left ( call::left list argument_list::left ( i ) argument_list::right call::right ) argument_list::right call::right ) argument_list::right call::right for_in_clause::left for i in call::left attribute::left s . split attribute::right argument_list::left ( string::left '   ' string::right ) argument_list::right call::right for_in_clause::right ] list_comprehension::right ) argument_list::right call::right return_statement::right module::right,1
3,"```python
def rolling_max(numbers: List[int]) -> List[int]:
    result = []
    current_max = float('-inf')
    for number in numbers:
        if number > current_max:
            current_max = number
        result.append(current_max)
    return result
```","```python
def rolling_max(var_1: List[int]) -> List[int]:
    var_2 = []
    var_3 = float('-inf')
    for var_4 in var_1:
        if var_4 > var_3:
            var_3 = var_4
        var_2.append(var_3)
    return var_2
```",module::left ERROR::left string::left ` ` string::right ` ERROR::right expression_statement::left python expression_statement::right function_definition::left def rolling_max parameters::left ( typed_parameter::left var_1 : type::left generic_type::left List type_parameter::left [ type::left int type::right ] type_parameter::right generic_type::right type::right typed_parameter::right ) parameters::right -> type::left generic_type::left List type_parameter::left [ type::left int type::right ] type_parameter::right generic_type::right type::right : block::left expression_statement::left assignment::left var_2 = list::left [ ] list::right assignment::right expression_statement::right expression_statement::left assignment::left var_3 = call::left float argument_list::left ( string::left ' -inf ' string::right ) argument_list::right call::right assignment::right expression_statement::right for_statement::left for var_4 in var_1 : block::left if_statement::left if comparison_operator::left var_4 > var_3 comparison_operator::right : block::left expression_statement::left assignment::left var_3 = var_4 assignment::right expression_statement::right block::right if_statement::right expression_statement::left call::left attribute::left var_2 . append attribute::right argument_list::left ( var_3 ) argument_list::right call::right expression_statement::right block::right for_statement::right return_statement::left return var_2 return_statement::right block::right function_definition::right ERROR::left string::left ` ` string::right ` ERROR::right module::right,0
4,"```python
def encode(message):
    def shift_vowel(c):
        vowels = 'aeiouAEIOU'
        if c in vowels:
            if c.islower():
                return chr((ord(c) - ord('a') + 2) % 26 + ord('a'))
            else:
                return chr((ord(c) - ord('A') + 2) % 26 + ord('A'))
        return c

    return ''.join(shift_vowel(c).swapcase() for c in message)
```","```python
def encode(var_1):
    def shift_vowel(var_2):
        var_3 = 'aeiouAEIOU'
        if var_2 in var_3:
            if var_2.islower():
                return chr((ord(var_2) - ord('a') + 2) % 26 + ord('a'))
            else:
                return chr((ord(var_2) - ord('A') + 2) % 26 + ord('A'))
        return var_2

    return ''.join(shift_vowel(var_2).swapcase() for var_2 in var_1)
```",module::left ERROR::left string::left ` ` string::right ` ERROR::right expression_statement::left python expression_statement::right function_definition::left def encode parameters::left ( var_1 ) parameters::right : block::left function_definition::left def shift_vowel parameters::left ( var_2 ) parameters::right : block::left expression_statement::left assignment::left var_3 = string::left ' aeiouAEIOU ' string::right assignment::right expression_statement::right if_statement::left if comparison_operator::left var_2 in var_3 comparison_operator::right : block::left if_statement::left if call::left attribute::left var_2 . islower attribute::right argument_list::left ( ) argument_list::right call::right : block::left return_statement::left return call::left chr argument_list::left ( binary_operator::left binary_operator::left parenthesized_expression::left ( binary_operator::left binary_operator::left call::left ord argument_list::left ( var_2 ) argument_list::right call::right - call::left ord argument_list::left ( string::left ' a ' string::right ) argument_list::right call::right binary_operator::right + 2 binary_operator::right ) parenthesized_expression::right % 26 binary_operator::right + call::left ord argument_list::left ( string::left ' a ' string::right ) argument_list::right call::right binary_operator::right ) argument_list::right call::right return_statement::right block::right else_clause::left else : block::left return_statement::left return call::left chr argument_list::left ( binary_operator::left binary_operator::left parenthesized_expression::left ( binary_operator::left binary_operator::left call::left ord argument_list::left ( var_2 ) argument_list::right call::right - call::left ord argument_list::left ( string::left ' A ' string::right ) argument_list::right call::right binary_operator::right + 2 binary_operator::right ) parenthesized_expression::right % 26 binary_operator::right + call::left ord argument_list::left ( string::left ' A ' string::right ) argument_list::right call::right binary_operator::right ) argument_list::right call::right return_statement::right block::right else_clause::right if_statement::right block::right if_statement::right return_statement::left return var_2 return_statement::right block::right function_definition::right return_statement::left return call::left attribute::left string::left ' ' string::right . join attribute::right generator_expression::left ( call::left attribute::left call::left shift_vowel argument_list::left ( var_2 ) argument_list::right call::right . swapcase attribute::right argument_list::left ( ) argument_list::right call::right for_in_clause::left for var_2 in var_1 for_in_clause::right ) generator_expression::right call::right return_statement::right block::right function_definition::right ERROR::left string::left ` ` string::right ` ERROR::right module::right,0
5,"    depth = 0
    for b in brackets:
        if b == ""<"":
            depth += 1
        else:
            depth -= 1
        if depth < 0:
            return False
    return depth == 0
","    var_1 = 0
    for var_2 in var_3:
        if var_2 == ""<"":
            var_1 += 1
        else:
            var_1 -= 1
        if var_1 < 0:
            return False
    return var_1 == 0
","module::left expression_statement::left assignment::left var_1 = 0 assignment::right expression_statement::right for_statement::left for var_2 in var_3 : block::left if_statement::left if comparison_operator::left var_2 == string::left "" < "" string::right comparison_operator::right : block::left expression_statement::left augmented_assignment::left var_1 += 1 augmented_assignment::right expression_statement::right block::right else_clause::left else : block::left expression_statement::left augmented_assignment::left var_1 -= 1 augmented_assignment::right expression_statement::right block::right else_clause::right if_statement::right if_statement::left if comparison_operator::left var_1 < 0 comparison_operator::right : block::left return_statement::left return False return_statement::right block::right if_statement::right block::right for_statement::right return_statement::left return comparison_operator::left var_1 == 0 comparison_operator::right return_statement::right module::right",1
6,"    def digits_sum(n):
        neg = 1
        if n < 0: n, neg = -1 * n, -1 
        n = [int(i) for i in str(n)]
        n[0] = n[0] * neg
        return sum(n)
    return sorted(nums, key=digits_sum)
","    def digits_sum(var_1):
        var_2 = 1
        if var_1 < 0: var_1, var_2 = -1 * var_1, -1 
        var_1 = [int(i) for i in str(var_1)]
        var_1[0] = var_1[0] * var_2
        return sum(var_1)
    return sorted(nums, key=digits_sum)
","module::left function_definition::left def digits_sum parameters::left ( var_1 ) parameters::right : block::left expression_statement::left assignment::left var_2 = 1 assignment::right expression_statement::right if_statement::left if comparison_operator::left var_1 < 0 comparison_operator::right : block::left expression_statement::left assignment::left pattern_list::left var_1 , var_2 pattern_list::right = expression_list::left binary_operator::left unary_operator::left - 1 unary_operator::right * var_1 binary_operator::right , unary_operator::left - 1 unary_operator::right expression_list::right assignment::right expression_statement::right block::right if_statement::right expression_statement::left assignment::left var_1 = list_comprehension::left [ call::left int argument_list::left ( i ) argument_list::right call::right for_in_clause::left for i in call::left str argument_list::left ( var_1 ) argument_list::right call::right for_in_clause::right ] list_comprehension::right assignment::right expression_statement::right expression_statement::left assignment::left subscript::left var_1 [ 0 ] subscript::right = binary_operator::left subscript::left var_1 [ 0 ] subscript::right * var_2 binary_operator::right assignment::right expression_statement::right return_statement::left return call::left sum argument_list::left ( var_1 ) argument_list::right call::right return_statement::right block::right function_definition::right return_statement::left return call::left sorted argument_list::left ( nums , keyword_argument::left key = digits_sum keyword_argument::right ) argument_list::right call::right return_statement::right module::right",1
7,"    m = l[0]
    for e in l:
        if e > m:
            m = e
    return m
","    var_1 = var_3[0]
    for var_2 in var_3:
        if var_2 > var_1:
            var_1 = var_2
    return var_1
",module::left expression_statement::left assignment::left var_1 = subscript::left var_3 [ 0 ] subscript::right assignment::right expression_statement::right for_statement::left for var_2 in var_3 : block::left if_statement::left if comparison_operator::left var_2 > var_1 comparison_operator::right : block::left expression_statement::left assignment::left var_1 = var_2 assignment::right expression_statement::right block::right if_statement::right block::right for_statement::right return_statement::left return var_1 return_statement::right module::right,1
8,"    for i in range(len(l)):
        for j in range(i + 1, len(l)):
            for k in range(j + 1, len(l)):
                if l[i] + l[j] + l[k] == 0:
                    return True
    return False
","    for var_1 in range(len(l)):
        for var_2 in range(var_1 + 1, len(l)):
            for var_3 in range(var_2 + 1, len(l)):
                if l[var_1] + l[var_2] + l[var_3] == 0:
                    return True
    return False
","module::left for_statement::left for var_1 in call::left range argument_list::left ( call::left len argument_list::left ( l ) argument_list::right call::right ) argument_list::right call::right : block::left for_statement::left for var_2 in call::left range argument_list::left ( binary_operator::left var_1 + 1 binary_operator::right , call::left len argument_list::left ( l ) argument_list::right call::right ) argument_list::right call::right : block::left for_statement::left for var_3 in call::left range argument_list::left ( binary_operator::left var_2 + 1 binary_operator::right , call::left len argument_list::left ( l ) argument_list::right call::right ) argument_list::right call::right : block::left if_statement::left if comparison_operator::left binary_operator::left binary_operator::left subscript::left l [ var_1 ] subscript::right + subscript::left l [ var_2 ] subscript::right binary_operator::right + subscript::left l [ var_3 ] subscript::right binary_operator::right == 0 comparison_operator::right : block::left return_statement::left return True return_statement::right block::right if_statement::right block::right for_statement::right block::right for_statement::right block::right for_statement::right return_statement::left return False return_statement::right module::right",1
9,"```python
def words_string(s):
    import re
    return re.split(r'[,\s]+', s.strip())
```","```python
def words_string(var_1):
    import re
    return re.split(r'[,\s]+', var_1.strip())
```","module::left ERROR::left string::left ` ` string::right ` ERROR::right expression_statement::left python expression_statement::right function_definition::left def words_string parameters::left ( var_1 ) parameters::right : block::left import_statement::left import dotted_name::left re dotted_name::right import_statement::right return_statement::left return call::left attribute::left re . split attribute::right argument_list::left ( string::left r' [,\s]+ ' string::right , call::left attribute::left var_1 . strip attribute::right argument_list::left ( ) argument_list::right call::right ) argument_list::right call::right return_statement::right block::right function_definition::right ERROR::left string::left ` ` string::right ` ERROR::right module::right",0
