idx,code,new_code,ast,actual label
0,"    lis = list()
    for i in s.split(' '):
        if i.isdigit():
            lis.append(int(i))
    return n - sum(lis)
","    var_1 = list()
    for var_2 in s.split(' '):
        if var_2.isdigit():
            var_1.append(int(var_2))
    return n - sum(var_1)
",module::left expression_statement::left assignment::left var_1 = call::left list argument_list::left ( ) argument_list::right call::right assignment::right expression_statement::right for_statement::left for var_2 in call::left attribute::left s . split attribute::right argument_list::left ( string::left '   ' string::right ) argument_list::right call::right : block::left if_statement::left if call::left attribute::left var_2 . isdigit attribute::right argument_list::left ( ) argument_list::right call::right : block::left expression_statement::left call::left attribute::left var_1 . append attribute::right argument_list::left ( call::left int argument_list::left ( var_2 ) argument_list::right call::right ) argument_list::right call::right expression_statement::right block::right if_statement::right block::right for_statement::right return_statement::left return binary_operator::left n - call::left sum argument_list::left ( var_1 ) argument_list::right call::right binary_operator::right return_statement::right module::right,1
1,"def exchange(lst1, lst2):
    """"""In this problem, you will implement a function that takes two lists of numbers,
    and determines whether it is possible to perform an exchange of elements
    between them to make lst1 a list of only even numbers.
    There is no limit on the number of exchanged elements between lst1 and lst2.
    If it is possible to exchange elements between the lst1 and lst2 to make
    all the elements of lst1 to be even, return ""YES"".
    Otherwise, return ""NO"".
    For example:
    exchange([1, 2, 3, 4], [1, 2, 3, 4]) => ""YES""
    exchange([1, 2, 3, 4], [1, 5, 3, 4]) => ""NO""
    It is assumed that the input lists will be non-empty.
    """"""
    # Count odd numbers in lst1
    odd_count_lst1 = sum(1 for x in lst1 if x % 2 != 0)
    
    # Count even numbers in lst2
    even_count_lst2 = sum(1 for x in lst2 if x % 2 == 0)
    
    # We can make lst1 all even if we have enough even numbers in lst2
    # to replace all odd numbers in lst1
    if even_count_lst2 >= odd_count_lst1:
        return ""YES""
    else:
        return ""NO""","def exchange(var_1, var_2):
    """"""In this problem, you will implement a function that takes two lists of numbers,
    and determines whether it is possible to perform an exchange of elements
    between them to make lst1 a list of only even numbers.
    There is no limit on the number of exchanged elements between lst1 and lst2.
    If it is possible to exchange elements between the lst1 and lst2 to make
    all the elements of lst1 to be even, return ""YES"".
    Otherwise, return ""NO"".
    For example:
    exchange([1, 2, 3, 4], [1, 2, 3, 4]) => ""YES""
    exchange([1, 2, 3, 4], [1, 5, 3, 4]) => ""NO""
    It is assumed that the input lists will be non-empty.
    """"""
    # Count odd numbers in lst1
    var_3 = sum(1 for x in var_1 if x % 2 != 0)
    
    # Count even numbers in lst2
    var_4 = sum(1 for x in var_2 if x % 2 == 0)
    
    # We can make lst1 all even if we have enough even numbers in lst2
    # to replace all odd numbers in lst1
    if var_4 >= var_3:
        return ""YES""
    else:
        return ""NO""","module::left function_definition::left def exchange parameters::left ( var_1 , var_2 ) parameters::right : block::left expression_statement::left string::left """""" In this problem, you will implement a function that takes two lists of numbers,
    and determines whether it is possible to perform an exchange of elements
    between them to make lst1 a list of only even numbers.
    There is no limit on the number of exchanged elements between lst1 and lst2.
    If it is possible to exchange elements between the lst1 and lst2 to make
    all the elements of lst1 to be even, return ""YES"".
    Otherwise, return ""NO"".
    For example:
    exchange([1, 2, 3, 4], [1, 2, 3, 4]) => ""YES""
    exchange([1, 2, 3, 4], [1, 5, 3, 4]) => ""NO""
    It is assumed that the input lists will be non-empty.
     """""" string::right expression_statement::right # Count odd numbers in lst1 expression_statement::left assignment::left var_3 = call::left sum generator_expression::left ( 1 for_in_clause::left for x in var_1 for_in_clause::right if_clause::left if comparison_operator::left binary_operator::left x % 2 binary_operator::right != 0 comparison_operator::right if_clause::right ) generator_expression::right call::right assignment::right expression_statement::right # Count even numbers in lst2 expression_statement::left assignment::left var_4 = call::left sum generator_expression::left ( 1 for_in_clause::left for x in var_2 for_in_clause::right if_clause::left if comparison_operator::left binary_operator::left x % 2 binary_operator::right == 0 comparison_operator::right if_clause::right ) generator_expression::right call::right assignment::right expression_statement::right # We can make lst1 all even if we have enough even numbers in lst2 # to replace all odd numbers in lst1 if_statement::left if comparison_operator::left var_4 >= var_3 comparison_operator::right : block::left return_statement::left return string::left "" YES "" string::right return_statement::right block::right else_clause::left else : block::left return_statement::left return string::left "" NO "" string::right return_statement::right block::right else_clause::right if_statement::right block::right function_definition::right module::right",0
2,"    return ' '.join([''.join(sorted(list(i))) for i in s.split(' ')])
","    return ' '.join([''.join(sorted(list(i))) for i in s.split(' ')])
",module::left return_statement::left return call::left attribute::left string::left '   ' string::right . join attribute::right argument_list::left ( list_comprehension::left [ call::left attribute::left string::left ' ' string::right . join attribute::right argument_list::left ( call::left sorted argument_list::left ( call::left list argument_list::left ( i ) argument_list::right call::right ) argument_list::right call::right ) argument_list::right call::right for_in_clause::left for i in call::left attribute::left s . split attribute::right argument_list::left ( string::left '   ' string::right ) argument_list::right call::right for_in_clause::right ] list_comprehension::right ) argument_list::right call::right return_statement::right module::right,1
3,"```python
def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
    if not numbers:
        return []
    
    result = []
    current_max = numbers[0]
    
    for num in numbers:
        current_max = max(current_max, num)
        result.append(current_max)
    
    return result
```","```python
def rolling_max(var_1: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
    if not var_1:
        return []
    
    var_2 = []
    var_3 = var_1[0]
    
    for var_4 in var_1:
        var_3 = max(var_3, var_4)
        var_2.append(var_3)
    
    return var_2
```","module::left ERROR::left string::left ` ` string::right ` ERROR::right expression_statement::left python expression_statement::right function_definition::left def rolling_max parameters::left ( typed_parameter::left var_1 : type::left generic_type::left List type_parameter::left [ type::left int type::right ] type_parameter::right generic_type::right type::right typed_parameter::right ) parameters::right -> type::left generic_type::left List type_parameter::left [ type::left int type::right ] type_parameter::right generic_type::right type::right : block::left expression_statement::left string::left """"""  From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
     """""" string::right expression_statement::right if_statement::left if not_operator::left not var_1 not_operator::right : block::left return_statement::left return list::left [ ] list::right return_statement::right block::right if_statement::right expression_statement::left assignment::left var_2 = list::left [ ] list::right assignment::right expression_statement::right expression_statement::left assignment::left var_3 = subscript::left var_1 [ 0 ] subscript::right assignment::right expression_statement::right for_statement::left for var_4 in var_1 : block::left expression_statement::left assignment::left var_3 = call::left max argument_list::left ( var_3 , var_4 ) argument_list::right call::right assignment::right expression_statement::right expression_statement::left call::left attribute::left var_2 . append attribute::right argument_list::left ( var_3 ) argument_list::right call::right expression_statement::right block::right for_statement::right return_statement::left return var_2 return_statement::right block::right function_definition::right ERROR::left string::left ` ` string::right ` ERROR::right module::right",0
4,"```python
def encode(message):
    vowels = 'aeiouAEIOU'
    vowel_map = {'a': 'c', 'e': 'g', 'i': 'k', 'o': 'q', 'u': 'w',
                 'A': 'C', 'E': 'G', 'I': 'K', 'O': 'Q', 'U': 'W'}
    
    result = []
    for char in message:
        if char in vowel_map:
            result.append(vowel_map[char])
        else:
            result.append(char.swapcase())
    
    return ''.join(result)
```","```python
def encode(var_1):
    var_2 = 'aeiouAEIOU'
    var_3 = {'a': 'c', 'e': 'g', 'i': 'k', 'o': 'q', 'u': 'w',
                 'A': 'C', 'E': 'G', 'I': 'K', 'O': 'Q', 'U': 'W'}
    
    var_4 = []
    for var_5 in var_1:
        if var_5 in var_3:
            var_4.append(var_3[var_5])
        else:
            var_4.append(var_5.swapcase())
    
    return ''.join(var_4)
```","module::left ERROR::left string::left ` ` string::right ` ERROR::right expression_statement::left python expression_statement::right function_definition::left def encode parameters::left ( var_1 ) parameters::right : block::left expression_statement::left assignment::left var_2 = string::left ' aeiouAEIOU ' string::right assignment::right expression_statement::right expression_statement::left assignment::left var_3 = dictionary::left { pair::left string::left ' a ' string::right : string::left ' c ' string::right pair::right , pair::left string::left ' e ' string::right : string::left ' g ' string::right pair::right , pair::left string::left ' i ' string::right : string::left ' k ' string::right pair::right , pair::left string::left ' o ' string::right : string::left ' q ' string::right pair::right , pair::left string::left ' u ' string::right : string::left ' w ' string::right pair::right , pair::left string::left ' A ' string::right : string::left ' C ' string::right pair::right , pair::left string::left ' E ' string::right : string::left ' G ' string::right pair::right , pair::left string::left ' I ' string::right : string::left ' K ' string::right pair::right , pair::left string::left ' O ' string::right : string::left ' Q ' string::right pair::right , pair::left string::left ' U ' string::right : string::left ' W ' string::right pair::right } dictionary::right assignment::right expression_statement::right expression_statement::left assignment::left var_4 = list::left [ ] list::right assignment::right expression_statement::right for_statement::left for var_5 in var_1 : block::left if_statement::left if comparison_operator::left var_5 in var_3 comparison_operator::right : block::left expression_statement::left call::left attribute::left var_4 . append attribute::right argument_list::left ( subscript::left var_3 [ var_5 ] subscript::right ) argument_list::right call::right expression_statement::right block::right else_clause::left else : block::left expression_statement::left call::left attribute::left var_4 . append attribute::right argument_list::left ( call::left attribute::left var_5 . swapcase attribute::right argument_list::left ( ) argument_list::right call::right ) argument_list::right call::right expression_statement::right block::right else_clause::right if_statement::right block::right for_statement::right return_statement::left return call::left attribute::left string::left ' ' string::right . join attribute::right argument_list::left ( var_4 ) argument_list::right call::right return_statement::right block::right function_definition::right ERROR::left string::left ` ` string::right ` ERROR::right module::right",0
5,"    depth = 0
    for b in brackets:
        if b == ""<"":
            depth += 1
        else:
            depth -= 1
        if depth < 0:
            return False
    return depth == 0
","    var_1 = 0
    for var_2 in var_3:
        if var_2 == ""<"":
            var_1 += 1
        else:
            var_1 -= 1
        if var_1 < 0:
            return False
    return var_1 == 0
","module::left expression_statement::left assignment::left var_1 = 0 assignment::right expression_statement::right for_statement::left for var_2 in var_3 : block::left if_statement::left if comparison_operator::left var_2 == string::left "" < "" string::right comparison_operator::right : block::left expression_statement::left augmented_assignment::left var_1 += 1 augmented_assignment::right expression_statement::right block::right else_clause::left else : block::left expression_statement::left augmented_assignment::left var_1 -= 1 augmented_assignment::right expression_statement::right block::right else_clause::right if_statement::right if_statement::left if comparison_operator::left var_1 < 0 comparison_operator::right : block::left return_statement::left return False return_statement::right block::right if_statement::right block::right for_statement::right return_statement::left return comparison_operator::left var_1 == 0 comparison_operator::right return_statement::right module::right",1
6,"    def digits_sum(n):
        neg = 1
        if n < 0: n, neg = -1 * n, -1 
        n = [int(i) for i in str(n)]
        n[0] = n[0] * neg
        return sum(n)
    return sorted(nums, key=digits_sum)
","    def digits_sum(var_1):
        var_2 = 1
        if var_1 < 0: var_1, var_2 = -1 * var_1, -1 
        var_1 = [int(i) for i in str(var_1)]
        var_1[0] = var_1[0] * var_2
        return sum(var_1)
    return sorted(nums, key=digits_sum)
","module::left function_definition::left def digits_sum parameters::left ( var_1 ) parameters::right : block::left expression_statement::left assignment::left var_2 = 1 assignment::right expression_statement::right if_statement::left if comparison_operator::left var_1 < 0 comparison_operator::right : block::left expression_statement::left assignment::left pattern_list::left var_1 , var_2 pattern_list::right = expression_list::left binary_operator::left unary_operator::left - 1 unary_operator::right * var_1 binary_operator::right , unary_operator::left - 1 unary_operator::right expression_list::right assignment::right expression_statement::right block::right if_statement::right expression_statement::left assignment::left var_1 = list_comprehension::left [ call::left int argument_list::left ( i ) argument_list::right call::right for_in_clause::left for i in call::left str argument_list::left ( var_1 ) argument_list::right call::right for_in_clause::right ] list_comprehension::right assignment::right expression_statement::right expression_statement::left assignment::left subscript::left var_1 [ 0 ] subscript::right = binary_operator::left subscript::left var_1 [ 0 ] subscript::right * var_2 binary_operator::right assignment::right expression_statement::right return_statement::left return call::left sum argument_list::left ( var_1 ) argument_list::right call::right return_statement::right block::right function_definition::right return_statement::left return call::left sorted argument_list::left ( nums , keyword_argument::left key = digits_sum keyword_argument::right ) argument_list::right call::right return_statement::right module::right",1
7,"    m = l[0]
    for e in l:
        if e > m:
            m = e
    return m
","    var_1 = var_3[0]
    for var_2 in var_3:
        if var_2 > var_1:
            var_1 = var_2
    return var_1
",module::left expression_statement::left assignment::left var_1 = subscript::left var_3 [ 0 ] subscript::right assignment::right expression_statement::right for_statement::left for var_2 in var_3 : block::left if_statement::left if comparison_operator::left var_2 > var_1 comparison_operator::right : block::left expression_statement::left assignment::left var_1 = var_2 assignment::right expression_statement::right block::right if_statement::right block::right for_statement::right return_statement::left return var_1 return_statement::right module::right,1
8,"    for i in range(len(l)):
        for j in range(i + 1, len(l)):
            for k in range(j + 1, len(l)):
                if l[i] + l[j] + l[k] == 0:
                    return True
    return False
","    for var_1 in range(len(l)):
        for var_2 in range(var_1 + 1, len(l)):
            for var_3 in range(var_2 + 1, len(l)):
                if l[var_1] + l[var_2] + l[var_3] == 0:
                    return True
    return False
","module::left for_statement::left for var_1 in call::left range argument_list::left ( call::left len argument_list::left ( l ) argument_list::right call::right ) argument_list::right call::right : block::left for_statement::left for var_2 in call::left range argument_list::left ( binary_operator::left var_1 + 1 binary_operator::right , call::left len argument_list::left ( l ) argument_list::right call::right ) argument_list::right call::right : block::left for_statement::left for var_3 in call::left range argument_list::left ( binary_operator::left var_2 + 1 binary_operator::right , call::left len argument_list::left ( l ) argument_list::right call::right ) argument_list::right call::right : block::left if_statement::left if comparison_operator::left binary_operator::left binary_operator::left subscript::left l [ var_1 ] subscript::right + subscript::left l [ var_2 ] subscript::right binary_operator::right + subscript::left l [ var_3 ] subscript::right binary_operator::right == 0 comparison_operator::right : block::left return_statement::left return True return_statement::right block::right if_statement::right block::right for_statement::right block::right for_statement::right block::right for_statement::right return_statement::left return False return_statement::right module::right",1
9,"```python
def words_string(s):
    """"""
    You will be given a string of words separated by commas or spaces. Your task is
    to split the string into words and return an array of the words.
    
    For example:
    words_string(""Hi, my name is John"") == [""Hi"", ""my"", ""name"", ""is"", ""John""]
    words_string(""One, two, three, four, five, six"") == [""One"", ""two"", ""three"", ""four"", ""five"", ""six""]
    """"""
    return [word for word in s.replace(',', ' ').split() if word]
```","```python
def words_string(var_1):
    """"""
    You will be given a string of words separated by commas or spaces. Your task is
    to split the string into words and return an array of the words.
    
    For example:
    words_string(""Hi, my name is John"") == [""Hi"", ""my"", ""name"", ""is"", ""John""]
    words_string(""One, two, three, four, five, six"") == [""One"", ""two"", ""three"", ""four"", ""five"", ""six""]
    """"""
    return [word for word in var_1.replace(',', ' ').split() if word]
```","module::left ERROR::left string::left ` ` string::right ` ERROR::right expression_statement::left python expression_statement::right function_definition::left def words_string parameters::left ( var_1 ) parameters::right : block::left expression_statement::left string::left """""" 
    You will be given a string of words separated by commas or spaces. Your task is
    to split the string into words and return an array of the words.
    
    For example:
    words_string(""Hi, my name is John"") == [""Hi"", ""my"", ""name"", ""is"", ""John""]
    words_string(""One, two, three, four, five, six"") == [""One"", ""two"", ""three"", ""four"", ""five"", ""six""]
     """""" string::right expression_statement::right return_statement::left return list_comprehension::left [ word for_in_clause::left for word in call::left attribute::left call::left attribute::left var_1 . replace attribute::right argument_list::left ( string::left ' , ' string::right , string::left '   ' string::right ) argument_list::right call::right . split attribute::right argument_list::left ( ) argument_list::right call::right for_in_clause::right if_clause::left if word if_clause::right ] list_comprehension::right return_statement::right block::right function_definition::right ERROR::left string::left ` ` string::right ` ERROR::right module::right",0
