idx,code,new_code,ast,actual label
0,"    lis = list()
    for i in s.split(' '):
        if i.isdigit():
            lis.append(int(i))
    return n - sum(lis)
","    var_1 = list()
    for var_2 in s.split(' '):
        if var_2.isdigit():
            var_1.append(int(var_2))
    return n - sum(var_1)
",module::left expression_statement::left assignment::left var_1 = call::left list argument_list::left ( ) argument_list::right call::right assignment::right expression_statement::right for_statement::left for var_2 in call::left attribute::left s . split attribute::right argument_list::left ( string::left '   ' string::right ) argument_list::right call::right : block::left if_statement::left if call::left attribute::left var_2 . isdigit attribute::right argument_list::left ( ) argument_list::right call::right : block::left expression_statement::left call::left attribute::left var_1 . append attribute::right argument_list::left ( call::left int argument_list::left ( var_2 ) argument_list::right call::right ) argument_list::right call::right expression_statement::right block::right if_statement::right block::right for_statement::right return_statement::left return binary_operator::left n - call::left sum argument_list::left ( var_1 ) argument_list::right call::right binary_operator::right return_statement::right module::right,1
1,"def exchange(lst1, lst2):
    """"""In this problem, you will implement a function that takes two lists of numbers,
    and determines whether it is possible to perform an","def exchange(var_1, var_2):
    """"""In this problem, you will implement a function that takes two lists of numbers,
    and determines whether it is possible to perform an","module::left function_definition::left def exchange parameters::left ( var_1 , var_2 ) parameters::right : ERROR::left """""" In this ERROR::right block::left expression_statement::left problem , ERROR::left you will implement a function that takes two lists of ERROR::right numbers , expression_statement::right ERROR::left and determines whether ERROR::right expression_statement::left comparison_operator::left it is ERROR::left possible to perform ERROR::right an comparison_operator::right expression_statement::right block::right function_definition::right module::right",0
2,"    return ' '.join([''.join(sorted(list(i))) for i in s.split(' ')])
","    return ' '.join([''.join(sorted(list(i))) for i in s.split(' ')])
",module::left return_statement::left return call::left attribute::left string::left '   ' string::right . join attribute::right argument_list::left ( list_comprehension::left [ call::left attribute::left string::left ' ' string::right . join attribute::right argument_list::left ( call::left sorted argument_list::left ( call::left list argument_list::left ( i ) argument_list::right call::right ) argument_list::right call::right ) argument_list::right call::right for_in_clause::left for i in call::left attribute::left s . split attribute::right argument_list::left ( string::left '   ' string::right ) argument_list::right call::right for_in_clause::right ] list_comprehension::right ) argument_list::right call::right return_statement::right module::right,1
3,"from typing import List, Tuple


def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found","from typing import List, Tuple


def rolling_max(var_1: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found","module::left import_from_statement::left from dotted_name::left typing dotted_name::right import dotted_name::left List dotted_name::right , dotted_name::left Tuple dotted_name::right import_from_statement::right function_definition::left def rolling_max parameters::left ( typed_parameter::left var_1 : type::left generic_type::left List type_parameter::left [ type::left int type::right ] type_parameter::right generic_type::right type::right typed_parameter::right ) parameters::right -> type::left generic_type::left List type_parameter::left [ type::left int type::right ] type_parameter::right generic_type::right type::right : ERROR::left """""" From a given list of ERROR::right block::left expression_statement::left integers , ERROR::left generate a list of rolling maximum element ERROR::right found expression_statement::right block::right function_definition::right module::right",0
4,"def encode(message):
    """"""
    Write a function that takes a message, and encodes in such a 
    way that it swaps case of all letters, replaces all vowels","def encode(var_1):
    """"""
    Write a function that takes a var_1, and encodes in such a 
    way that it swaps case of all letters, replaces all vowels","module::left function_definition::left def encode parameters::left ( var_1 ) parameters::right : ERROR::left """""" Write a function that takes a ERROR::right block::left expression_statement::left var_1 , ERROR::left and ERROR::right comparison_operator::left encodes in ERROR::left such ERROR::right a comparison_operator::right expression_statement::right ERROR::left way that it swaps case of all ERROR::right expression_statement::left letters , ERROR::left replaces all ERROR::right vowels expression_statement::right block::right function_definition::right module::right",0
5,"    depth = 0
    for b in brackets:
        if b == ""<"":
            depth += 1
        else:
            depth -= 1
        if depth < 0:
            return False
    return depth == 0
","    var_1 = 0
    for var_2 in var_3:
        if var_2 == ""<"":
            var_1 += 1
        else:
            var_1 -= 1
        if var_1 < 0:
            return False
    return var_1 == 0
","module::left expression_statement::left assignment::left var_1 = 0 assignment::right expression_statement::right for_statement::left for var_2 in var_3 : block::left if_statement::left if comparison_operator::left var_2 == string::left "" < "" string::right comparison_operator::right : block::left expression_statement::left augmented_assignment::left var_1 += 1 augmented_assignment::right expression_statement::right block::right else_clause::left else : block::left expression_statement::left augmented_assignment::left var_1 -= 1 augmented_assignment::right expression_statement::right block::right else_clause::right if_statement::right if_statement::left if comparison_operator::left var_1 < 0 comparison_operator::right : block::left return_statement::left return False return_statement::right block::right if_statement::right block::right for_statement::right return_statement::left return comparison_operator::left var_1 == 0 comparison_operator::right return_statement::right module::right",1
6,"    def digits_sum(n):
        neg = 1
        if n < 0: n, neg = -1 * n, -1 
        n = [int(i) for i in str(n)]
        n[0] = n[0] * neg
        return sum(n)
    return sorted(nums, key=digits_sum)
","    def digits_sum(var_1):
        var_2 = 1
        if var_1 < 0: var_1, var_2 = -1 * var_1, -1 
        var_1 = [int(i) for i in str(var_1)]
        var_1[0] = var_1[0] * var_2
        return sum(var_1)
    return sorted(nums, key=digits_sum)
","module::left function_definition::left def digits_sum parameters::left ( var_1 ) parameters::right : block::left expression_statement::left assignment::left var_2 = 1 assignment::right expression_statement::right if_statement::left if comparison_operator::left var_1 < 0 comparison_operator::right : block::left expression_statement::left assignment::left pattern_list::left var_1 , var_2 pattern_list::right = expression_list::left binary_operator::left unary_operator::left - 1 unary_operator::right * var_1 binary_operator::right , unary_operator::left - 1 unary_operator::right expression_list::right assignment::right expression_statement::right block::right if_statement::right expression_statement::left assignment::left var_1 = list_comprehension::left [ call::left int argument_list::left ( i ) argument_list::right call::right for_in_clause::left for i in call::left str argument_list::left ( var_1 ) argument_list::right call::right for_in_clause::right ] list_comprehension::right assignment::right expression_statement::right expression_statement::left assignment::left subscript::left var_1 [ 0 ] subscript::right = binary_operator::left subscript::left var_1 [ 0 ] subscript::right * var_2 binary_operator::right assignment::right expression_statement::right return_statement::left return call::left sum argument_list::left ( var_1 ) argument_list::right call::right return_statement::right block::right function_definition::right return_statement::left return call::left sorted argument_list::left ( nums , keyword_argument::left key = digits_sum keyword_argument::right ) argument_list::right call::right return_statement::right module::right",1
7,"    m = l[0]
    for e in l:
        if e > m:
            m = e
    return m
","    var_1 = var_3[0]
    for var_2 in var_3:
        if var_2 > var_1:
            var_1 = var_2
    return var_1
",module::left expression_statement::left assignment::left var_1 = subscript::left var_3 [ 0 ] subscript::right assignment::right expression_statement::right for_statement::left for var_2 in var_3 : block::left if_statement::left if comparison_operator::left var_2 > var_1 comparison_operator::right : block::left expression_statement::left assignment::left var_1 = var_2 assignment::right expression_statement::right block::right if_statement::right block::right for_statement::right return_statement::left return var_1 return_statement::right module::right,1
8,"    for i in range(len(l)):
        for j in range(i + 1, len(l)):
            for k in range(j + 1, len(l)):
                if l[i] + l[j] + l[k] == 0:
                    return True
    return False
","    for var_1 in range(len(l)):
        for var_2 in range(var_1 + 1, len(l)):
            for var_3 in range(var_2 + 1, len(l)):
                if l[var_1] + l[var_2] + l[var_3] == 0:
                    return True
    return False
","module::left for_statement::left for var_1 in call::left range argument_list::left ( call::left len argument_list::left ( l ) argument_list::right call::right ) argument_list::right call::right : block::left for_statement::left for var_2 in call::left range argument_list::left ( binary_operator::left var_1 + 1 binary_operator::right , call::left len argument_list::left ( l ) argument_list::right call::right ) argument_list::right call::right : block::left for_statement::left for var_3 in call::left range argument_list::left ( binary_operator::left var_2 + 1 binary_operator::right , call::left len argument_list::left ( l ) argument_list::right call::right ) argument_list::right call::right : block::left if_statement::left if comparison_operator::left binary_operator::left binary_operator::left subscript::left l [ var_1 ] subscript::right + subscript::left l [ var_2 ] subscript::right binary_operator::right + subscript::left l [ var_3 ] subscript::right binary_operator::right == 0 comparison_operator::right : block::left return_statement::left return True return_statement::right block::right if_statement::right block::right for_statement::right block::right for_statement::right block::right for_statement::right return_statement::left return False return_statement::right module::right",1
9,"def words_string(s):
    """"""
    You will be given a string of words separated by commas or spaces. Your task is
    to split the string into words and return an array of the words.
    
    For example:
    words_string(""Hi, my name is John"") == [""Hi"", ""my"", ""name"", ""is"", ""John""]
    words_string(""One, two, three, four, five, six"") == [""One"", ""two"", ""three"", ""four"", ""five"", ""six""]
    """"""
    # Replace all commas with spaces to unify delimiters
    temp_s = s.replace(',', ' ')
    # Split the string by whitespace. The split() method without arguments
    #","def words_string(var_1):
    """"""
    You will be given a string of words separated by commas or spaces. Your task is
    to split the string into words and return an array of the words.
    
    For example:
    words_string(""Hi, my name is John"") == [""Hi"", ""my"", ""name"", ""is"", ""John""]
    words_string(""One, two, three, four, five, six"") == [""One"", ""two"", ""three"", ""four"", ""five"", ""six""]
    """"""
    # Replace all commas with spaces to unify delimiters
    var_2 = var_1.replace(',', ' ')
    # Split the string by whitespace. The split() method without arguments
    #","module::left function_definition::left def words_string parameters::left ( var_1 ) parameters::right : block::left expression_statement::left string::left """""" 
    You will be given a string of words separated by commas or spaces. Your task is
    to split the string into words and return an array of the words.
    
    For example:
    words_string(""Hi, my name is John"") == [""Hi"", ""my"", ""name"", ""is"", ""John""]
    words_string(""One, two, three, four, five, six"") == [""One"", ""two"", ""three"", ""four"", ""five"", ""six""]
     """""" string::right expression_statement::right # Replace all commas with spaces to unify delimiters expression_statement::left assignment::left var_2 = call::left attribute::left var_1 . replace attribute::right argument_list::left ( string::left ' , ' string::right , string::left '   ' string::right ) argument_list::right call::right assignment::right expression_statement::right # Split the string by whitespace. The split() method without arguments # block::right function_definition::right module::right",0
10,"    note_map = {'o': 4, 'o|': 2, '.|': 1}
    return [note_map[x] for x in music_string.split(' ') if x]
","    var_1 = {'o': 4, 'o|': 2, '.|': 1}
    return [var_1[x] for x in music_string.split(' ') if x]
","module::left expression_statement::left assignment::left var_1 = dictionary::left { pair::left string::left ' o ' string::right : 4 pair::right , pair::left string::left ' o| ' string::right : 2 pair::right , pair::left string::left ' .| ' string::right : 1 pair::right } dictionary::right assignment::right expression_statement::right return_statement::left return list_comprehension::left [ subscript::left var_1 [ x ] subscript::right for_in_clause::left for x in call::left attribute::left music_string . split attribute::right argument_list::left ( string::left '   ' string::right ) argument_list::right call::right for_in_clause::right if_clause::left if x if_clause::right ] list_comprehension::right return_statement::right module::right",1
